Question,Answer
Hello,Hello! How can I help you?
hello,Hello! How can I help you?
Hello please,Hello! How can I help you?
Hi,Hi there! How can I assist you?
hi,Hi there! How can I assist you?
Hi please,Hi there! How can I assist you?
Hey,Hey! Nice to meet you.
hey,Hey! Nice to meet you.
Hey please,Hey! Nice to meet you.
Good morning,Good morning! Have a great day.
good morning,Good morning! Have a great day.
Good morning please,Good morning! Have a great day.
Good afternoon,Good afternoon! How can I help you?
good afternoon,Good afternoon! How can I help you?
Good afternoon please,Good afternoon! How can I help you?
Good evening,Good evening! What can I do for you?
good evening,Good evening! What can I do for you?
Good evening please,Good evening! What can I do for you?
How are you?,"I'm doing well, thanks for asking!"
how are you?,"I'm doing well, thanks for asking!"
How are you? please,"I'm doing well, thanks for asking!"
What is your name?,I am a chatbot built using Python and machine learning.
what is your name?,I am a chatbot built using Python and machine learning.
What is your name? please,I am a chatbot built using Python and machine learning.
Who created you?,I was created as a college machine learning project.
who created you?,I was created as a college machine learning project.
Who created you? please,I was created as a college machine learning project.
What can you do?,I can answer simple questions based on my training data.
what can you do?,I can answer simple questions based on my training data.
What can you do? please,I can answer simple questions based on my training data.
Bye,Goodbye! Have a nice day.
bye,Goodbye! Have a nice day.
Bye please,Goodbye! Have a nice day.
See you later,See you soon!
see you later,See you soon!
See you later please,See you soon!
Thank you,You're welcome!
thank you,You're welcome!
Thank you please,You're welcome!
Thanks,Happy to help!
thanks,Happy to help!
Thanks please,Happy to help!
Can you help me?,Of course! Ask me your question.
can you help me?,Of course! Ask me your question.
Can you help me? please,Of course! Ask me your question.
What is Python?,Python is a high-level programming language.
what is python?,Python is a high-level programming language.
What is Python? please,Python is a high-level programming language.
What is Java?,Java is an object-oriented programming language.
what is java?,Java is an object-oriented programming language.
What is Java? please,Java is an object-oriented programming language.
What is C++?,C++ is a powerful programming language used for system and application development.
what is c++?,C++ is a powerful programming language used for system and application development.
What is C++? please,C++ is a powerful programming language used for system and application development.
What is machine learning?,Machine learning allows computers to learn from data.
what is machine learning?,Machine learning allows computers to learn from data.
What is machine learning? please,Machine learning allows computers to learn from data.
What is artificial intelligence?,Artificial intelligence enables machines to perform tasks that usually require human intelligence.
what is artificial intelligence?,Artificial intelligence enables machines to perform tasks that usually require human intelligence.
What is artificial intelligence? please,Artificial intelligence enables machines to perform tasks that usually require human intelligence.
What is NLP?,Natural Language Processing helps computers understand human language.
what is nlp?,Natural Language Processing helps computers understand human language.
What is NLP? please,Natural Language Processing helps computers understand human language.
What is data science?,Data science extracts useful insights from data.
what is data science?,Data science extracts useful insights from data.
What is data science? please,Data science extracts useful insights from data.
What is pandas?,Pandas is a Python library for data analysis.
what is pandas?,Pandas is a Python library for data analysis.
What is pandas? please,Pandas is a Python library for data analysis.
What is NumPy?,NumPy is a Python library for numerical computing.
what is numpy?,NumPy is a Python library for numerical computing.
What is NumPy? please,NumPy is a Python library for numerical computing.
What is Matplotlib?,Matplotlib is a Python library used for plotting graphs.
what is matplotlib?,Matplotlib is a Python library used for plotting graphs.
